17,3600,3569.331960868481,36.5869133,-121.7559026,231.9349051
-24.897617,-41.967445
-25.477291,-42.784628
-26.056918,-43.601833
-26.636490,-44.419064
-27.216002,-45.236327
-27.795446,-46.053625
-28.374817,-46.870965
-28.954107,-47.688350
-29.533310,-48.505785
-30.112417,-49.323277
-30.691423,-50.140829
-31.270320,-50.958447
-31.849100,-51.776137
-32.427756,-52.593904
-33.006280,-53.411753
-33.584664,-54.229691
-34.162900,-55.047722
-34.740980,-55.865852
-35.318897,-56.684087
-35.896641,-57.502434
-36.474205,-58.320898
-37.051580,-59.139484
-37.628757,-59.958200
-38.205728,-60.777052
-38.782484,-61.596045
-39.359016,-62.415186
-39.935315,-63.234481
-40.511372,-64.053938
-41.087177,-64.873562
-41.662722,-65.693360
-42.237996,-66.513338
-42.812992,-67.333505
-43.387698,-68.153866
-43.962105,-68.974428
-44.536204,-69.795199
-45.109985,-70.616184
-45.683437,-71.437393
-46.256551,-72.258831
-46.829317,-73.080506
-47.401724,-73.902425
-47.973762,-74.724596
-48.545421,-75.547026
-49.116691,-76.369722
-49.687561,-77.192692
-50.258020,-78.015945
-50.828058,-78.839486
-51.397664,-79.663325
-51.966828,-80.487468
-52.535538,-81.311925
-53.103784,-82.136702
-53.671555,-82.961807
-54.238840,-83.787249
-54.805628,-84.613036
-55.371908,-85.439176
-55.937668,-86.265676
-56.502898,-87.092546
-57.067586,-87.919794
-57.631722,-88.747426
-58.195291,-89.575457
-58.758267,-90.403909
-59.320622,-91.232796
-59.882342,-92.062117
-60.443410,-92.891875
-61.003808,-93.722069
-61.563521,-94.552702
-62.122531,-95.383774
-62.680819,-96.215288
-63.238369,-97.047243
-63.795163,-97.879642
-64.351182,-98.712486
-64.906410,-99.545777
-65.460827,-100.379517
-66.014420,-101.213710
-66.567303,-102.048397
-67.119650,-102.883608
-67.671465,-103.719389
-68.222756,-104.555786
-68.773536,-105.392848
-69.323815,-106.230628
-69.873609,-107.069183
-70.422938,-107.908576
-70.971826,-108.748879
-71.520303,-109.590172
-72.068403,-110.432546
-72.616172,-111.276106
-73.163650,-112.120957
-73.710950,-112.967275
-74.257559,-113.814751
-74.802470,-114.662751
-75.345370,-115.510963
-75.886112,-116.359143
-76.424484,-117.206994
-76.960282,-118.054213
-77.493298,-118.900491
-78.023330,-119.745528
-78.550193,-120.589044
-79.073717,-121.430786
-79.593766,-122.270547
-80.110225,-123.108158
-80.623058,-123.943558
-81.132126,-124.776596
-81.638745,-125.608758
-82.144855,-126.442225
-82.650865,-127.277551
-83.156841,-128.114926
-83.662897,-128.954561
-84.169090,-129.796592
-84.675460,-130.641113
-85.182019,-131.488177
-85.688764,-132.337802
-86.195673,-133.189975
-86.702715,-134.044661
-87.209848,-134.901809
-87.717030,-135.761356
-88.224211,-136.623231
-88.729437,-137.484907
-89.230380,-138.344053
-89.726973,-139.200564
-90.219155,-140.054346
-90.706904,-140.905358
-91.190211,-141.753579
-91.669223,-142.599237
-92.146231,-143.445553
-92.623906,-144.295274
-93.102271,-145.148497
-93.581877,-146.006055
-94.063441,-146.868611
-94.547185,-147.736408
-95.032158,-148.607791
-95.515466,-149.479507
-95.995742,-150.350532
-96.473286,-151.221131
-96.948066,-152.091339
-97.420146,-152.961269
-97.889640,-153.831143
-98.356548,-154.700952
-98.822226,-155.572938
-99.289451,-156.449375
-99.758571,-157.330106
-100.229224,-158.214467
-100.701160,-159.101797
-101.174116,-159.991478
-101.647038,-160.881889
-102.118262,-161.772016
-102.587729,-162.661916
-103.055525,-163.551693
-103.521696,-164.441431
-103.986292,-165.331207
-104.449358,-166.221088
-104.910934,-167.111136
-105.371057,-168.001404
-105.829759,-168.891939
-106.287072,-169.782783
-106.743022,-170.673972
-107.197631,-171.565536
-107.650922,-172.457504
-108.102913,-173.349899
-108.553646,-174.242736
-109.003187,-175.136018
-109.451550,-176.029759
-109.898752,-176.923975
-110.344806,-177.818677
-110.789727,-178.713878
-111.233527,-179.609591
-111.676221,-180.505827
-112.117819,-181.402598
-112.558334,-182.299914
-112.997779,-183.197784
-113.436165,-184.096221
-113.873503,-184.995233
-114.309806,-185.894830
-114.745091,-186.794993
-115.179392,-187.695682
-115.612713,-188.596889
-116.045062,-189.498608
-116.476443,-190.400833
-116.906862,-191.303557
-117.336324,-192.206773
-117.764835,-193.110476
-118.192401,-194.014659
-118.619025,-194.919316
-119.044714,-195.824441
-119.469473,-196.730029
-119.893306,-197.636073
-120.316218,-198.542568
-120.738214,-199.449509
-121.159298,-200.356889
-121.579475,-201.264705
-121.998750,-202.172950
-122.417125,-203.081621
-122.834606,-203.990712
-123.251196,-204.900220
-123.666898,-205.810139
-124.081716,-206.720466
-124.495653,-207.631198
-124.908713,-208.542331
-125.320897,-209.453861
-125.732208,-210.365785
-126.142649,-211.278102
-126.552222,-212.190809
-126.960928,-213.103902
-127.368770,-214.017382
-127.775748,-214.931245
-128.181863,-215.845492
-128.587118,-216.760121
-128.991511,-217.675132
-129.395044,-218.590524
-129.797716,-219.506298
-130.199528,-220.422455
-130.600479,-221.338995
-131.000568,-222.255920
-131.399793,-223.173232
-131.798155,-224.090933
-132.195651,-225.009025
-132.592279,-225.927512
-132.988037,-226.846398
-133.382922,-227.765686
-133.776932,-228.685381
-134.170064,-229.605488
-134.562313,-230.526013
-134.953677,-231.446962
-135.344150,-232.368341
-135.733729,-233.290158
-136.122408,-234.212420
-136.510183,-235.135135
-136.897048,-236.058315
-137.282995,-236.981964
-137.668021,-237.906106
-138.052106,-238.830790
-138.435227,-239.756041
-138.817374,-240.681857
