latitude,longitude,altitude
36.58701987764728,-121.75617047209762,231.93496109904083
36.58701261525587,-121.7561771224419,231.9349619126119
36.58700535316396,-121.75618377317977,231.93496288412422
36.58699809139927,-121.75619042435206,231.93496401293785
36.58699082998995,-121.7561970760002,231.93496530082587
36.58698356896444,-121.7562037281662,231.93496674629273
36.58697630835148,-121.75621038089253,231.9349683494233
36.5869690481801,-121.75621703422199,231.93497011013264
36.58696178847941,-121.75622368819765,231.93497202916862
36.58695452927859,-121.75623034286261,231.9349741056756
36.586947270606885,-121.75623699826002,231.934976341257
36.58694001249342,-121.75624365443281,231.93497873422456
36.586932754967144,-121.7562503114236,231.93498128457819
36.58692549805676,-121.75625696927456,231.93498399362088
36.58691824179062,-121.75626362802723,231.93498686051993
36.58691098619658,-121.75627028772226,231.93498988563778
36.586903731301994,-121.75627694839942,231.93499306861196
36.58689647713347,-121.75628361009717,231.93499640877957
36.58688922371685,-121.75629027285271,231.93499990810645
36.586881971077055,-121.75629693670152,231.9350035653746
36.58687471923789,-121.75630360167723,231.93500738011366
36.58686746822199,-121.75631026781146,231.93501135354177
36.58686021805059,-121.75631693513336,231.93501548518861
36.58685296874341,-121.75632360366946,231.9350197742216
36.586845720318415,-121.75633027344333,231.93502422128063
36.58683847279168,-121.75633694447525,231.93502882796918
36.58683122617711,-121.75634361678179,231.93503359221356
36.58682398048626,-121.75635029037547,231.93503851337377
36.58681673572806,-121.7563569652643,231.93504359219764
36.5868094919085,-121.75636364145127,231.9350488320388
36.58680224903035,-121.75637031893389,231.9350542284104
36.58679500709291,-121.7563769977036,231.9350597813354
36.58678776609141,-121.75638367774503,231.93506549358943
36.58678052601683,-121.75639035903552,231.93507136480997
36.58677328685537,-121.75639704154413,231.93507739294634
36.5867660485879,-121.75640372523095,231.9350835791088
36.58675881118955,-121.75641041004619,231.93508992340514
36.586751574629034,-121.75641709592914,231.93509642666803
36.586744338868066,-121.75642378280719,231.9351030863765
36.58673710386075,-121.75643047059471,231.93510990394128
36.58672986955278,-121.75643715919179,231.9351168801951
36.586722635880776,-121.75644384848304,231.93512401336474
36.58671540277152,-121.7564505383363,231.93513130466826
36.586708170141094,-121.75645722860125,231.93513875402084
36.58670093789412,-121.75646391910806,231.93514635954142
36.58669370592296,-121.75647060966604,231.9351541231111
36.58668647410693,-121.7564773000623,231.935162043342
36.58667924231146,-121.75648399006039,231.9351701211517
36.586672010387424,-121.75649067939918,231.93517835645537
36.58666477817052,-121.75649736779164,231.9351867476725
36.58665754548071,-121.75650405492408,231.93519529704653
36.58665031212172,-121.7565107404553,231.93520400252675
36.58664307788078,-121.75651742401608,231.93521286328053
36.58663584252867,-121.75652410520898,231.9352218812737
36.58662860581889,-121.75653078360894,231.93523105370772
36.58662136749129,-121.75653745876127,231.9352403830188
36.586614127260084,-121.75654413019214,231.93524986743375
36.58660688486098,-121.75655079737379,231.93525950706038
36.58659963984611,-121.75655745988429,231.93526930236902
36.586592391470155,-121.75656411745186,231.93527925318998
36.586585139188976,-121.75657076962788,231.9352893574725
36.58657788267226,-121.75657741582663,231.935299618786
36.586570621537206,-121.75658405547121,231.93531003386164
36.58656335540777,-121.75659068796696,231.93532060541318
36.58655608390132,-121.75659731271304,231.93533132925432
36.586548806635136,-121.75660392910352,231.93534220679584
36.58654152322732,-121.75661053653182,231.9353532398958
36.58653423329953,-121.75661713439389,231.9353644265264
36.58652693647873,-121.75662372209167,231.9353757666878
36.586519632399536,-121.75663029903612,231.93538725879944
36.58651232070504,-121.75663686465074,231.9353989052127
36.58650500105191,-121.75664341837143,231.93541070415438
36.58649767309835,-121.75664995965903,231.93542265637234
36.58649033632047,-121.75665648812647,231.9354347601164
36.586482990274796,-121.75666300330849,231.93544701790762
36.586475634770096,-121.75666950463098,231.93545942666984
36.58646826962128,-121.75667599154585,231.93547198911688
36.586460894662004,-121.75668246352554,231.9354847029204
36.58645350974117,-121.75668892006433,231.93549756835802
36.586446114723664,-121.7566953606777,231.93551058404196
36.586438709489485,-121.75670178490161,231.93552375230055
36.58643129393351,-121.75670819229163,231.93553706922503
36.58642386796409,-121.75671458242248,231.93555053714374
36.58641643150463,-121.75672095488505,231.93556415577908
36.58640898448461,-121.7567273092917,231.9355779232731
36.58640152686874,-121.75673364525159,231.93559184065114
36.586394058529216,-121.75673996246765,231.9356059072503
36.58638657906483,-121.75674626082379,231.9356201225385
36.58637908814176,-121.75675254016461,231.93563448781867
36.586371585625265,-121.75675880026614,231.9356490035611
36.586364071351205,-121.75676504092455,231.93566366921073
36.586356545170126,-121.75677126193725,231.93567848280165
36.58634900693389,-121.75677746310559,231.9356934459374
36.58634145649729,-121.75678364423185,231.93570856011362
36.58633389371587,-121.75678980511682,231.93572382372685
36.58632631844353,-121.7567959455581,231.93573923707768
36.58631873053409,-121.7568020653445,231.9357548004437
36.58631112982668,-121.75680816426313,231.93577051168933
36.586303516191165,-121.75681424206057,231.935786373698
36.586295889352506,-121.75682029857198,231.93580238760296
36.58628824953187,-121.756826333236,231.93581854836228
36.58628059410939,-121.75683234746354,231.93583486245177
36.58627291803992,-121.75683834289181,231.93585134041004
36.586265220224185,-121.75684431892493,231.9358679825377
36.58625750148146,-121.75685027442171,231.93588478490304
36.586249762122904,-121.75685620838055,231.93590174825388
36.58624200251118,-121.75686211980569,231.93591887117947
36.5862342228964,-121.7568680077608,231.93593615199146
36.58622642344525,-121.7568738713744,231.9359535906051
36.586218604214984,-121.7568797098613,231.93597118607985
36.5862107651567,-121.75688552253048,231.93598893722074
36.58620290605639,-121.75689130883184,231.93600684597064
36.586195026691996,-121.75689706826454,231.9360249106643
36.58618712618774,-121.75690280078436,231.9360431327125
36.58617920553368,-121.75690850531252,231.936061510427
36.58617127221555,-121.75691417849559,231.93608002809626
36.58616333093461,-121.75691981946247,231.93609867939102
36.58615538040436,-121.75692542882955,231.93611746638513
36.58614742040654,-121.75693100693833,231.9361363885235
36.58613945060436,-121.75693655412701,231.93615544730173
36.58613147084966,-121.75694207066097,231.93617464086185
36.58612348109171,-121.75694755675718,231.93619397330536
36.586115481393016,-121.75695301258291,231.93621344183373
36.586107471916314,-121.75695843826172,231.9362330472796
36.58609945292071,-121.75696383387677,231.93625278806252
36.58609142475105,-121.7569691994769,231.93627266640289
36.58608338784602,-121.75697453507446,231.93629267670366
36.586075342678214,-121.75697984067375,231.9363128236214
36.58606728996321,-121.75698511618248,231.93633309987067
36.586059231021984,-121.75699036133732,231.93635350756395
36.58605116674748,-121.75699557617102,231.93637404221434
36.58604309747143,-121.75700076091151,231.93639470354435
36.58603502366013,-121.75700591575144,231.93641549125334
36.58602694580162,-121.75701104088967,231.93643640534128
36.58601886442617,-121.75701613652986,231.93645744187643
36.5860107800908,-121.75702120289027,231.93647860271682
36.58600269337226,-121.75702624021025,231.93649988478626
36.58599460486192,-121.75703124875528,231.9365212881466
36.58598651514339,-121.75703622882831,231.9365428115797
36.585978424838146,-121.75704118075225,231.93656445275732
36.58597033439268,-121.75704610496001,231.93658621464763
36.58596224484024,-121.75705100167188,231.93660808957975
36.58595415404853,-121.75705587247438,231.93663008682807
36.585946056213984,-121.75706072014377,231.9366522215031
36.58593794927976,-121.75706554590067,231.9366744965343
36.585929833807334,-121.7570703501638,231.9366969133943
36.585921709800104,-121.75707513356181,231.93671947263815
36.58591357743711,-121.75707989670549,231.93674217492892
36.585905436873055,-121.75708464024554,231.9367650196884
36.58589728829071,-121.7570893648539,231.93678800935285
36.585889131884834,-121.75709407122503,231.93681114362155
36.58588096786443,-121.75709876007132,231.936834424183
36.58587279644987,-121.75710343211973,231.9368578489633
36.585864617871366,-121.75710808810796,231.93688142189436
36.58585643236686,-121.7571127287804,231.93690514378568
36.585848240180276,-121.75711735488441,231.93692901297203
36.585840041559536,-121.75712196716646,231.93695303064843
36.585831836754735,-121.75712656636848,231.93697719933584
36.5858236260165,-121.75713115322482,231.93700151715328
36.58581540959438,-121.75713572845898,231.9370259873695
36.58580718773547,-121.75714029278143,231.93705060829618
36.58579896068315,-121.75714484688736,231.93707538206888
36.585790728676,-121.75714939145512,231.93710030849488
36.585782491947,-121.75715392714504,231.93712538832196
36.58577425072271,-121.75715845459868,231.93715062293793
36.58576600522274,-121.7571629744385,231.93717601103987
36.58575775565954,-121.75716748726767,231.93720155540322
36.58574950223683,-121.75717199367105,231.93722725622072
36.585741245154814,-121.75717649421304,231.93725311293733
36.585732984589185,-121.75718098944823,231.93727912647043
36.58572472076966,-121.75718547988532,231.9373052969049
36.58571645484517,-121.7571899656601,231.93733162255236
36.58570818788838,-121.75719444706829,231.93735810106145
36.5856999200263,-121.7571989246044,231.93738473334963
36.58569165143175,-121.75720339873762,231.93741151811395
36.58568338225836,-121.75720786992487,231.93743845712763
36.58567511265851,-121.75721233860878,231.9374655523335
36.58566684277917,-121.75721680521927,231.9374928004858
36.585658572763364,-121.75722127017434,231.93752020538537
36.58565030275036,-121.75722573388106,231.9375477639561
36.58564203287604,-121.75723019673603,231.93757547824873
36.5856337632731,-121.75723465912641,231.937603350314
36.58562549407143,-121.7572391214302,231.93763137799326
36.58561722539831,-121.75724358401706,231.93765956167195
36.585608957378575,-121.75724804724865,231.93768790301533
36.58560069013489,-121.75725251147912,231.93771640016544
36.58559242378782,-121.75725697705535,231.93774505562016
36.58558415845605,-121.7572614443175,231.93777386826932
36.58557589425648,-121.75726591359903,231.93780283913827
36.58556763130429,-121.75727038522709,231.937831967564
36.58555936971314,-121.75727485952268,231.93786125448705
36.58555110959504,-121.75727933680068,231.9378907015727
36.58554285106061,-121.75728381737011,231.9379203059376
36.58553459421897,-121.75728830153406,231.93795006849916
36.58552633917782,-121.75729278958966,231.93797999150087
36.58551808604344,-121.7572972818282,231.93801007372463
36.58550983492066,-121.75730177853495,231.93804031611094
36.58550158591274,-121.75730627998905,231.93807071733383
36.58549333912148,-121.75731078646332,231.93810127871927
36.585485094646955,-121.75731529822403,231.9381320007993
36.5854768525876,-121.75731981553062,231.93816288210132
36.585468613039886,-121.75732433863537,231.93819392503846
36.585460376098304,-121.75732886778293,231.93822512867013
36.58545214185513,-121.7573334032098,231.93825649188614
36.58544391040019,-121.75733794514387,231.93828801709958
36.585435681820684,-121.75734249380366,231.93831970245247
36.585427456200804,-121.75734704939765,231.9383515498028
36.58541923362151,-121.75735161212339,231.9383835575701
36.58541101416002,-121.75735618216653,231.9384157275044
36.58540279788966,-121.75736075969992,231.93844805851867
36.585394584879076,-121.7573653448823,231.9384805517
36.58538637519203,-121.75736993785712,231.93851320510552
36.58537816888668,-121.75737453875117,231.9385460198454
36.58536996601499,-121.7573791476729,231.93857899750012
36.58536176662218,-121.75738376471114,231.9386121364044
36.585353570745845,-121.75738838993291,231.9386454369206
36.58534537841531,-121.75739302338192,231.9386788985784
36.58533718965076,-121.75739766507633,231.93871252231838
36.58532900446232,-121.7574023150067,231.93874630608977
36.58532082284909,-121.75740697313381,231.93878025352382
36.58531264479827,-121.75741163938619,231.93881436051896
36.5853044702838,-121.75741631365787,231.93884862754553
36.58529629926613,-121.75742099580545,231.9388830577644
36.585288131687776,-121.75742568564704,231.93891764820742
36.58527996748461,-121.7574303829539,231.9389523984043
36.58527180653767,-121.75743508746926,231.93898730891007
36.58526364884786,-121.75743979882581,231.93902237805958
36.58525549367969,-121.75744451692364,231.93905761042447
36.585247339485655,-121.75744924183088,231.93909300957426
36.58523918559627,-121.75745397321577,231.93912857655752
36.585231031910475,-121.75745871053267,231.9391643115438
36.58522287817382,-121.75746345320633,231.93920021380845
36.58521472414367,-121.75746820058774,231.93923628279634
36.58520656954369,-121.75747295196382,231.93927251961767
36.58519841407556,-121.75747770655346,231.93930892327023
36.58519025741537,-121.75748246350757,231.93934549142568
36.58518209921448,-121.75748722190913,231.9393822243616
36.58517393909978,-121.75749198077399,231.93941912312653
36.58516577667448,-121.75749673905247,231.93945618492188
36.58515761151915,-121.75750149563197,231.9394934124614
36.58514944319333,-121.75750624934034,231.93953080044867
36.58514127123739,-121.75751099895018,231.93956835018662
36.58513309517491,-121.75751574318419,231.93960606142087
36.58512491451526,-121.75752048072127,231.93964393237817
36.58511672875668,-121.75752521020331,231.93968196241875
36.5851085373895,-121.75752993024277,231.9397201518432
36.58510033989956,-121.75753463943063,231.9397584975755
36.58509213577175,-121.75753933634462,231.9397969989757
36.58508392449369,-121.75754401955753,231.93983565559677
36.585075705559035,-121.75754868764542,231.93987446688357
36.58506747847119,-121.7575533391953,231.93991343089334
