9,3600,3614.7943852790495,36.5869133,-121.7559026,231.9349051
-25.972945,-41.172622
-26.568113,-41.978557
-27.163317,-42.784459
-27.758559,-43.590324
-28.353844,-44.396149
-28.949176,-45.201932
-29.544558,-46.007669
-30.139994,-46.813357
-30.735488,-47.618993
-31.331044,-48.424573
-31.926665,-49.230095
-32.522356,-50.035555
-33.118120,-50.840949
-33.713962,-51.646275
-34.309884,-52.451529
-34.905890,-53.256709
-35.501985,-54.061811
-36.098171,-54.866833
-36.694452,-55.671771
-37.290831,-56.476622
-37.887310,-57.281385
-38.483894,-58.086057
-39.080584,-58.890634
-39.677383,-59.695116
-40.274292,-60.499500
-40.871314,-61.303784
-41.468451,-62.107967
-42.065703,-62.912047
-42.663071,-63.716024
-43.260555,-64.519896
-43.858155,-65.323664
-44.455870,-66.127328
-45.053700,-66.930888
-45.651641,-67.734344
-46.249691,-68.537700
-46.847847,-69.340956
-47.446104,-70.144116
-48.044457,-70.947182
-48.642899,-71.750160
-49.241422,-72.553054
-49.840018,-73.355871
-50.438676,-74.158617
-51.037385,-74.961300
-51.636130,-75.763930
-52.234898,-76.566518
-52.833670,-77.369075
-53.432427,-78.171614
-54.031149,-78.974152
-54.629813,-79.776703
-55.228391,-80.579288
-55.826857,-81.381924
-56.425180,-82.184635
-57.023327,-82.987443
-57.621261,-83.790375
-58.218946,-84.593458
-58.816341,-85.396720
-59.413402,-86.200193
-60.010083,-87.003906
-60.606347,-87.807910
-61.202168,-88.612287
-61.797507,-89.417098
-62.392310,-90.222378
-62.986528,-91.028170
-63.580106,-91.834517
-64.172990,-92.641461
-64.765127,-93.449044
-65.356461,-94.257308
-65.946940,-95.066296
-66.536509,-95.876048
-67.125116,-96.686607
-67.712709,-97.498010
-68.299238,-98.310296
-68.884654,-99.123504
-69.468923,-99.937690
-70.052003,-100.752906
-70.633843,-101.569170
-71.214394,-102.386505
-71.793608,-103.204929
-72.371440,-104.024458
-72.947847,-104.845108
-73.522788,-105.666891
-74.096222,-106.489820
-74.668112,-107.313904
-75.238420,-108.139153
-75.807113,-108.965573
-76.374155,-109.793170
-76.939520,-110.621956
-77.503197,-111.451977
-78.065172,-112.283269
-78.625426,-113.115848
-79.183939,-113.949732
-79.740695,-114.784937
-80.295674,-115.621480
-80.848861,-116.459376
-81.400235,-117.298643
-81.949781,-118.139296
-82.497478,-118.981351
-83.043307,-119.824827
-83.587246,-120.669737
-84.129281,-121.516112
-84.669360,-122.363928
-85.207611,-123.213475
-85.744179,-124.065314
-86.279012,-124.919566
-86.812007,-125.776140
-87.343074,-126.635002
-87.872125,-127.496111
-88.399076,-128.359441
-88.923848,-129.224971
-89.446372,-130.092697
-89.966585,-130.962623
-90.484439,-131.834773
-90.999888,-132.709172
-91.512928,-133.585917
-92.023464,-134.464898
-92.531195,-135.345284
-93.036042,-136.226554
-93.538062,-137.108850
-94.037284,-137.992197
-94.533739,-138.876633
-95.027451,-139.762172
-95.518439,-140.648822
-96.006718,-141.536575
-96.492299,-142.425413
-96.975190,-143.315307
-97.455394,-144.206219
-97.932914,-145.098101
-98.407749,-145.990900
-98.879891,-146.884536
-99.349317,-147.778863
-99.816029,-148.673782
-100.280049,-149.569257
-100.741392,-150.465234
-101.200077,-151.361661
-101.656123,-152.258477
-102.109548,-153.155623
-102.560374,-154.053033
-103.008625,-154.950641
-103.454328,-155.848384
-103.897512,-156.746192
-104.338216,-157.644015
-104.776459,-158.541740
-105.212383,-159.439602
-105.646237,-160.338245
-106.078130,-161.237898
-106.508100,-162.138499
-106.936203,-163.040047
-107.362492,-163.942522
-107.787028,-164.845908
-108.209869,-165.750183
-108.631079,-166.655326
-109.050720,-167.561314
-109.468857,-168.468123
-109.885558,-169.375727
-110.300888,-170.284100
-110.714914,-171.193214
-111.127703,-172.103042
