x,y,z
161.393517000,53.432218000,5.786000000
160.807909000,54.259600000,5.786000000
160.219352000,55.086773000,5.786000000
159.629735000,55.913197000,5.786000000
159.040063000,56.739583000,5.786000000
158.451343000,57.566641000,5.786000000
157.864584000,58.395076000,5.786000000
157.279589000,59.224748000,5.786000000
156.694948000,60.054665000,5.786000000
156.110635000,60.884811000,5.786000000
155.526641000,61.715180000,5.786000000
154.942958000,62.545765000,5.786000000
154.359576000,63.376559000,5.786000000
153.776486000,64.207557000,5.786000000
153.193680000,65.038752000,5.786000000
152.611148000,65.870137000,5.786000000
152.028881000,66.701706000,5.786000000
151.446871000,67.533453000,5.786000000
150.865108000,68.365371000,5.786000000
150.283582000,69.197454000,5.786000000
149.702286000,70.029695000,5.786000000
149.121210000,70.862088000,5.786000000
148.540345000,71.694628000,5.786000000
147.959683000,72.527307000,5.786000000
147.379212000,73.360119000,5.786000000
146.798926000,74.193057000,5.786000000
146.218814000,75.026117000,5.786000000
145.638868000,75.859290000,5.786000000
145.059078000,76.692571000,5.786000000
144.479436000,77.525954000,5.786000000
143.899932000,78.359432000,5.786000000
143.320557000,79.192999000,5.786000000
142.741302000,80.026649000,5.786000000
142.162159000,80.860374000,5.786000000
141.583117000,81.694170000,5.786000000
141.004168000,82.528030000,5.786000000
140.425302000,83.361947000,5.786000000
139.846511000,84.195916000,5.786000000
139.267786000,85.029929000,5.786000000
138.689117000,85.863981000,5.786000000
138.110495000,86.698066000,5.786000000
137.531911000,87.532176000,5.786000000
136.953356000,88.366307000,5.786000000
136.374821000,89.200451000,5.786000000
135.796297000,90.034602000,5.786000000
135.217774000,90.868754000,5.786000000
134.639244000,91.702902000,5.786000000
134.060697000,92.537037000,5.786000000
133.482124000,93.371155000,5.786000000
132.903516000,94.205249000,5.786000000
132.324864000,95.039313000,5.786000000
131.746159000,95.873340000,5.786000000
131.167392000,96.707325000,5.786000000
130.588554000,97.541260000,5.786000000
130.009634000,98.375140000,5.786000000
129.430626000,99.208958000,5.786000000
128.851518000,100.042709000,5.786000000
128.272303000,100.876385000,5.786000000
127.693781000,101.710773000,5.786000000
127.136004000,102.558158000,5.786000000
126.605822000,103.423419000,5.786000000
126.102844000,104.304523000,5.786000000
125.626173000,105.200027000,5.786000000
125.174801000,106.108566000,5.786000000
124.747639000,107.028824000,5.786000000
124.343652000,107.959271000,5.786000000
123.961640000,108.898664000,5.786000000
123.600229000,109.846198000,5.786000000
123.258128000,110.800922000,5.786000000
122.934043000,111.761941000,5.785995000
122.626738000,112.728242000,5.785595000
122.334932000,113.698992000,5.784561000
122.057213000,114.673918000,5.782893000
121.792308000,115.652397000,5.780591000
121.538962000,116.633839000,5.777655000
121.295930000,117.617689000,5.774085000
121.061918000,118.603677000,5.769880000
120.835675000,119.591441000,5.765041000
120.615980000,120.580536000,5.759568000
120.401610000,121.570531000,5.753461000
120.191283000,122.561283000,5.746720000
119.983639000,123.552984000,5.739344000
119.777515000,124.544821000,5.731334000
119.560618000,125.531854000,5.722690000
119.250894000,126.503644000,5.713412000
118.854490000,127.437738000,5.703500000
