s_m,x_m,y_m,heading_rad
0.000000,163.540913,48.298768,2.182397625187
1.527056,162.661159,49.546940,2.186648234930
3.054120,161.777867,50.792620,2.188065093466
4.581184,160.894575,52.038301,2.186648234930
6.108240,160.014822,53.286473,2.182397625187
8.094302,158.875126,54.912983,2.181593772679
10.080361,157.736704,56.540382,2.180832984592
12.066418,156.599487,58.168620,2.180115262056
14.052475,155.463404,59.797649,2.179440605908
16.038532,154.328385,61.427421,2.178809016739
18.024590,153.194360,63.057885,2.178220494924
20.010650,152.061258,64.688993,2.177675040663
21.996711,150.929011,66.320697,2.177172654010
23.982775,149.797546,67.952946,2.176713334906
25.968841,148.666795,69.585692,2.176297083203
27.954910,147.536688,71.218887,2.175923898696
29.940981,146.407153,72.852481,2.175593781139
31.927054,145.278121,74.486425,2.175306730271
33.913129,144.149522,76.120670,2.175062745833
35.899205,143.021286,77.755168,2.174861827581
37.885283,141.893342,79.389869,2.174703975304
39.871362,140.765621,81.024725,2.174589188834
41.857441,139.638051,82.659686,2.174517468052
43.843520,138.510564,84.294703,2.174488812897
45.829598,137.383089,85.929729,2.174503223371
47.815675,136.255556,87.564712,2.174560699537
49.801751,135.127895,89.199606,2.174661241520
51.787825,134.000035,90.834360,2.174804849507
53.773896,132.871906,92.468925,2.174991523734
55.759965,131.743439,94.103254,2.175221264487
57.746030,130.614563,95.737296,2.175494072083
59.637063,129.588952,97.326047,2.113359815112
61.525336,128.661198,98.970689,2.056329945741
63.415729,127.823251,100.665218,2.004665021180
65.311488,127.067065,102.403633,1.958462854011
67.214382,126.384590,104.179930,1.917701800977
69.124869,125.767779,105.988108,1.882282536584
71.042279,125.208584,107.822164,1.852064327835
72.964980,124.698957,109.676095,1.826894374350
74.890548,124.230850,111.543898,1.806630429375
76.815921,123.796214,113.419572,1.791157761347
78.737539,123.387003,115.297113,1.780401792913
80.651485,122.995167,117.170520,1.774337697123
82.553611,122.612659,119.033789,1.772998002977
84.384180,122.070037,120.782087,1.959771680230
86.349114,121.184231,122.536029,2.112114373205
88.387511,120.013485,124.204685,2.252089806672
90.432069,118.616044,125.697125,2.397126400209
92.420374,117.050153,126.922419,2.564590746296
94.307532,115.374056,127.789636,2.774678591849
96.085475,113.645999,128.207845,3.047672933245
97.811546,111.924226,128.086118,3.385021163392
99.576473,110.260592,127.496807,-2.704978157278
101.309986,108.760949,126.627245,-2.531655582900
103.062855,107.403003,125.518851,-2.388284075234
104.862609,106.164462,124.213046,-2.277029227566
106.717255,105.023031,122.751249,-2.195507705779
108.620570,103.956418,121.174879,-2.140079611227
110.556881,102.942329,119.525356,-2.107638953749
112.504854,101.958471,117.844101,-2.096313730972
114.440458,100.982551,116.172531,-2.105695536588
116.339550,99.992274,114.552068,-2.136953128434
118.180520,98.965348,113.024130,-2.192939941116
120.170814,97.805145,111.406972,-2.193312308799
122.161110,96.644345,109.790241,-2.193678484440
124.151408,95.482956,108.173929,-2.194038467981
126.141708,94.320989,106.558031,-2.194392259379
128.132011,93.158454,104.942538,-2.194739858595
130.122316,91.995361,103.327443,-2.195081265600
