x,y
57.03223819961921,87.38257297698607
56.446778961628084,86.57064687959175
55.861215345108874,85.75881433179066
55.275580337691096,84.94705186379798
54.68989802795029,84.13533920020787
54.10418147350879,83.32366982470037
53.51844222423753,82.51203814689998
52.93268150859714,81.70043972005017
52.3469108094213,80.8888660201832
51.76113957549822,80.07730999932144
51.17536716173892,79.26577061429694
50.589592453813,78.45424913111614
50.00381521656003,77.6427461591647
49.41803298911655,76.83126207406792
48.83224736687943,76.0197952625881
48.246460134114855,75.20834405404804
47.66066988367446,74.39690910497059
47.07487380427952,73.58549190340182
46.48906715312802,72.77409548424531
45.90324467485948,71.96272330705224
45.31740138920585,71.15137841406982
44.7315319993678,70.34006425153785
44.14563138295384,69.52878423549177
43.55969388076073,68.71754208863024
42.97371038388695,67.90634401798488
42.387672053532334,67.09519603644485
41.80157315001631,66.28410202979664
41.215408124269096,65.47306570701824
40.62917168379697,64.66209062465929
40.04285832668494,63.851180571513176
39.45646298118368,63.04033900866605
38.86998112253495,62.22956895446643
38.283408662278916,61.41887316905424
37.69674517586854,60.60825184353164
37.109990279389976,59.797705096386665
36.52313898167935,58.987236376505805
35.936186842503844,58.17684878123484
35.34913159335419,57.36654382668232
34.76197122119617,56.55632287852776
34.17470487828825,55.74618642856947
33.58733166574089,54.93613500012655
32.99985009600087,54.126169636722494
32.41225894562506,53.31629116295184
31.82455709934586,52.50650027575008
31.23674563699378,51.696796141211166
30.64882561342652,50.88717797504127
30.060796125623504,50.07764632115474
29.472656370771908,49.26820169464114
28.884405781659268,48.458844521300946
28.296043916009495,47.64957507890878
27.707571088367935,46.840393059918135
27.11898767485372,46.031298149210826
26.530293582521253,45.22229042857641
25.941488861907068,44.4133698260396
25.352573446533263,43.60453631519057
24.763547455941154,42.795789829988294
24.17441162703511,41.98712982494142
23.58516677791986,41.178555620121315
22.995813641929523,40.370066705604074
22.40635312221235,39.561662453117
21.816785483956963,38.75334256870747
21.227111159189416,37.94510674656944
20.63733152153823,37.136954076273035
20.04744807734631,36.328883368918895
19.457462369553,35.5208934669345
18.867375817426897,34.71298340684331
18.2771898886231,33.905152066508776
17.68690618592246,33.09739822326665
17.09652645757413,32.289720669845295
16.506053378266195,31.48211748941865
15.915489533170804,30.674586730639575
15.324836758013792,29.867126984313444
14.734096878354425,29.059736987575327
14.143271471035778,28.252415599925577
13.552362108348435,27.445161557969655
12.961371133716117,26.637973298025123
12.370301009711905,25.830848981978246
11.779153753619578,25.023786986523724
11.18793161516637,24.216785834314003
10.596636884650884,23.409843790378012
10.005271706428516,22.602959165642915
9.413838424925718,21.79613036842879
8.822339964721344,20.989355248886937
8.230779150823409,20.182631689511183
7.639158405062495,19.37595793391013
7.047480177753056,18.56933224401676
6.455746999671568,17.762752735922554
5.863961279208706,16.956217544086076
5.272125950604796,16.149724593474993
4.680244054152176,15.343271733915184
4.088318229008069,14.536856921284276
3.4963510436226306,13.730478241719723
2.9043451307098396,12.924133806948845
2.3123030285711668,12.117821670283647
1.7202273545645494,11.311539959099496
1.1281208266762444,10.50528671700484
0.5359862260793806,9.699059798109538
-0.05617392722793638,8.892857378705804
-0.6483573393621092,8.08667780310762
-1.240561550096022,7.280519165573263
-1.8327839237859356,6.47437957728949
-2.425021785536405,5.668257128641885
-3.017272564495013,4.862149826698729
-3.60953373423747,4.056055782566218
-4.201802668970653,3.249973139914898
-4.794076829238053,2.4439000136071725
-5.3863537460053905,1.6378345436263668
-5.978630816484358,0.8317748506587148
-6.570905416843665,0.025719001980923716
-7.163174873979051,-0.7803350386314238
-7.755436513270162,-1.5863892355381486
-8.347687616371257,-2.3924455260091024
-8.939925490676096,-3.198505950436868
-9.532147420306345,-4.004572558298605
-10.124350585867493,-4.810647344450029
-10.716532020658473,-5.616732478131901
-11.30868859115271,-6.422830367505881
-11.900817323168761,-7.228943205425643
-12.492915366154477,-8.03507300342296
-13.08497988042659,-8.841221886092402
-13.677008097246594,-9.647391953567434
-14.268996658629057,-10.453585607790572
-14.860942064340358,-11.259805440584868
-15.452841435536907,-12.066053642873825
-16.044691871555806,-12.872332294389269
-16.636490382478776,-13.67864357941363
-17.228234035401794,-14.484989673985535
-17.819919896035994,-15.291372729831922
-18.411544996069377,-16.09779494806783
-19.003106354205645,-16.90425852763347
-19.594601459961254,-17.710765322178236
-20.186027648328018,-18.51731727309656
-20.777381762387392,-19.323916681240092
-21.368660877623668,-20.130565722439393
-21.95986194210211,-20.937266624728938
-22.550981760554507,-21.744021728604203
-23.142017278376045,-22.550833296006147
-23.732965384464748,-23.357703586079424
-24.323822764519967,-24.164635031366238
-24.914586358062735,-24.97162985669946
-25.5052531642717,-25.778690233739585
-26.095819825631136,-26.58581866980108
-26.68628281726859,-27.393017771659903
-27.27663861953327,-28.20029007507336
-27.86688361130046,-29.007638148257563
-28.457014138314403,-29.815064708787414
-29.047026636854397,-30.622572365487194
-29.63691734614182,-31.430163810111388
-30.226682229037777,-32.23784202570003
-30.81631720489792,-33.04560997388151
-31.405818254630788,-33.85347051439557
-31.995181305208163,-34.66142660943635
-32.58440244564467,-35.4694811336786
-33.17347768051014,-36.277636963276635
-33.76240286799551,-37.08589703785452
-34.35117381351907,-37.89426444507714
-34.93978601098646,-38.70274243425759
-35.52823475419605,-39.51133426340368
-36.11651584185239,-40.32004302459377
-36.704625153917675,-41.128871766173546
-37.29255840445339,-41.93782345666855
-37.8803112015667,-42.74690125177381
-38.46787924913549,-43.556108241483116
-39.055258113614606,-44.36544747600399
-39.642443446342114,-45.1749220487029
-40.2294312705439,-45.98453481233719
-40.81621762811571,-46.794288660906126
-41.40279812877607,-47.60418670609492
-41.98916810283443,-48.41423224104439
-42.57532322740685,-49.224428356551066
-43.16125909637378,-50.03477806262022
-43.74697113942622,-50.84528463477875
-44.33245547611316,-51.655950914033255
-44.91770797349634,-52.46677978099851
-45.502724000232774,-53.27777443689528
-46.087499034007465,-54.08893796624228
-46.67202862300813,-54.900273429254284
-47.25630848656852,-55.71178384274989
-47.84033428610461,-56.52347223926593
-48.4241018026179,-57.33534156065036
-49.00760747984407,-58.147394239299274
-49.59084784657691,-58.95963258412131
-50.17382045940178,-59.77205821720444
-50.75652475250596,-60.58467143406888
-51.338961482695055,-61.39747159472455
-51.921132677450984,-62.21045721086129
-52.50304190256888,-63.02362560032449
-53.084694679580025,-63.83697272262944
-53.66610009555406,-64.6504920131323
-54.24727134755662,-65.46417398974086
-54.82822548128114,-66.27800656358731
-55.40898264509971,-67.09197537381692
-55.98956508097287,-67.90606459301064
-56.56999626392878,-68.7202576025901
-57.15030089656444,-69.53453691963385
-57.73050274987283,-70.34888575940154
-58.31062193643976,-71.16329005732089
-58.89067371111913,-71.9777391714567
-59.47066639696298,-72.79222735087134
-60.05060099091018,-73.60675412616791
-60.6304721589522,-74.42132341751739
-61.21026872998057,-75.23594328805571
-61.78997420819883,-76.05062567349385
-62.36956600163362,-76.86538667595022
-62.94901636772125,-77.6802459897069
-63.52829457230152,-78.49522541867123
-64.10736861874804,-79.31034757042747
-64.68620927481132,-80.12563306541996
-65.26479265463989,-80.94109877662794
-65.84310104132791,-81.75675729395391
-66.4211244533548,-82.57261570530909
-66.99886183528211,-83.38867478553749
-67.57632386991803,-84.2049272137944
-68.15353678615955,-85.02135481339023
-68.73054466373048,-85.8379269496117
-69.30740805174354,-86.65460173374879
-69.88419993488407,-87.47132874277673
-70.46100096471172,-88.28805223850041
-71.03789628923307,-89.1047135946962
-71.61497249127626,-89.92125338848368
-72.19231314854738,-90.73761439175084
-72.76999268764166,-91.55374595932433
-73.34806934567837,-92.36960887891814
-73.92657922178115,-93.18517935462043
-74.50553471706979,-94.00045005060554
-75.08492621415529,-94.81542888005505
-75.66472391737926,-95.63013773796658
-76.24487865542565,-96.44461184484562
-76.82532197516025,-97.25889959339585
-77.40596637998225,-98.07306240656658
-77.98670732983474,-98.88717318979099
-78.56742856675987,-99.70131264153531
