x_m,y_m
172.52116458406516,53.54999999999999
172.72670139322176,53.1678241905915
173.68521462066053,51.41457980705677
174.66247719888466,49.67243767599276
175.6575408366467,47.94083533670098
176.66945724269917,46.219210328482845
177.69727812579458,44.50700019063974
178.74005519468545,42.80364246247315
179.79684015812427,41.10857468328447
180.8666847248636,39.42123439237516
181.94864060365595,37.74105912904662
183.0417595032538,36.067486432600305
184.14509313240967,34.39995384233766
185.25769319987612,32.737898897560086
186.3786114144056,31.08075913756903
187.5068994847507,29.42797210166591
188.6416091196639,27.77897532915218
189.78179202789775,26.13320635932925
190.92649991820474,24.49010273149855
192.07478449933737,22.849101984961532
193.22569748004818,21.20964165901961
194.37829056908964,19.571159292974237
195.53161547521435,17.93309242612682
196.6847239071748,16.294878597778794
197.83666757372345,14.655955347231608
198.98649818361287,13.015760213786677
200.13326744559558,11.37373073674543
201.27602706842404,9.72930445540931
202.41382876085086,8.081918909079743
203.5457242316285,6.4310116370581625
204.67076518950944,4.776020178645997
205.78800334324626,3.1163820731446727
206.89649040159148,1.4515348598556388
207.99527807329758,-0.21908392191969184
209.0834180671171,-1.8960367328798777
210.15996209180253,-3.57988603372349
211.2239618561064,-5.271194285149095
212.2744690687812,-6.97052394785527
213.31053543857954,-8.678437482540573
214.33121267425383,-10.395497349903579
215.33555248455664,-12.122266010642853
216.32260657824048,-13.859305925456967
217.2914266640579,-15.607179555044485
216.4555418175716,-14.114232366055395
215.4481376782638,-12.398960859671156
214.4058613735887,-10.708031766386055
213.33030616026525,-9.040314912937164
212.22306529501242,-7.39468012606155
211.08573203454915,-5.769997232496283
209.91989963559436,-4.165136058978427
208.72716135486706,-2.5789664322450565
207.50911044908617,-1.0103581790332465
206.26734017497063,0.5418188739199501
205.00344378923938,2.0786948998774517
203.71901454861143,3.601400072102188
202.41564570980566,5.111064563857099
201.09493052954105,6.608818548405107
199.75846226453655,8.095792199009146
198.4078341715111,9.573115688932152
197.0446395071837,11.041919191437048
195.67047152827323,12.503332879786765
194.28692349149867,13.95848692724424
192.89558865357898,15.408511507072406
191.4980602712331,16.85453679253418
190.09593160117998,18.297692956892515
188.69079590013857,19.739110173410307
187.28424642482784,21.179918615350527
185.8778764319667,22.621248455976083
184.47327917827414,24.0642298685499
183.0720479204691,25.50999302633493
181.67577591527052,26.959668102594087
180.28605641939734,28.4143852705903
178.90448268956857,29.875274703586527
177.53264798250305,31.34346657484566
176.1721455549198,32.82009105763067
174.8245686635378,34.30627832520445
173.49151056507597,35.803158550829934
172.1745645162532,37.311861907770094
170.87532377378858,38.833518569287826
169.59538159440092,40.36925870864606
168.33633123480925,41.92021249910774
167.09976595173248,43.48751011393581
165.8872790018896,45.072281726393165
164.70046364199953,46.675657509742756
163.5409131287812,48.2987676372475
164.67340197878724,46.67599596883341
165.8099474372777,45.03171474816556
166.9391918957252,43.38244362575262
168.06128175130297,41.728298023127365
169.1763634011843,40.06939336182258
170.28458324254242,38.405845063371004
171.38608767255062,36.737768549305414
