t_offset,scale_factor,error_distance,road_s,route_s,route_t
0.0,0.2,0.004571861467087009,441.72869080009866,441.72869080009866,0.0
0.0,0.25,0.004571861467087009,441.72869080009866,441.72869080009866,0.0
0.0,0.3,0.004571861467087009,441.72869080009866,441.72869080009866,0.0
0.0,0.35,0.004571861467087009,441.72869080009866,441.72869080009866,0.0
0.0,0.4,0.004571861467087009,441.72869080009866,441.72869080009866,0.0
2.0,0.2,2.033581994832321,441.72869080009866,441.72869080009866,0.4000000000000006
2.0,0.25,2.033581994832321,441.72869080009866,441.72869080009866,0.5000000000000007
2.0,0.3,2.033581994832321,441.72869080009866,441.72869080009866,0.6000000000000008
2.0,0.35,2.033581994832321,441.72869080009866,441.72869080009866,0.7000000000000008
2.0,0.4,2.033581994832321,441.72869080009866,441.72869080009866,0.8000000000000012
4.0,0.2,4.067083968506008,441.72869080009866,441.72869080009866,0.8000000000000009
4.0,0.25,4.067083968506008,441.72869080009866,441.72869080009866,1.000000000000001
4.0,0.3,4.067083968506008,441.72869080009866,441.72869080009866,1.2000000000000013
4.0,0.35,4.067083968506008,441.72869080009866,441.72869080009866,1.4000000000000015
4.0,0.4,4.067083968506008,441.72869080009866,441.72869080009866,1.6000000000000019
6.0,0.2,6.100587654761979,441.72869080009866,441.72869080009866,1.2000000000000015
6.0,0.25,6.100587654761979,441.72869080009866,441.72869080009866,1.5000000000000018
6.0,0.3,6.100587654761979,441.72869080009866,441.72869080009866,1.800000000000002
6.0,0.35,6.100587654761979,441.72869080009866,441.72869080009866,2.1000000000000023
6.0,0.4,6.100587654761979,441.72869080009866,441.72869080009866,2.400000000000003
8.0,0.2,8.1340917691758,441.72869080009866,441.72869080009866,1.5999999999999994
8.0,0.25,8.1340917691758,441.72869080009866,441.72869080009866,1.9999999999999991
8.0,0.3,8.1340917691758,441.72869080009866,441.72869080009866,2.399999999999999
8.0,0.35,8.1340917691758,441.72869080009866,441.72869080009866,2.7999999999999985
8.0,0.4,8.1340917691758,441.72869080009866,441.72869080009866,3.199999999999999
