s_m,x_m,y_m
0.0,172.52116458406516,53.55
1.9999728276278785,171.56976909782762,55.30918672687599
3.9999641039460734,170.6248391013859,57.07187569750398
5.999959756938356,169.67995260757235,58.83459295384339
7.999959399573619,168.73508309306698,60.59732383832337
9.999962643847967,167.79020403454973,62.360053693373054
11.999969102161893,166.8452889087006,64.12276786142156
13.999978388697583,165.90031119219964,65.88545168489803
15.999990120796221,164.95524436172676,67.64809050623158
18.00000392033515,164.01006189396202,69.41066966785137
20.00001941510523,163.06473726558534,71.17317451218652
22.000036240187896,162.1192439532768,72.93559038166613
24.00005403933273,161.1735554337163,74.69790261871938
26.00007246633445,160.22764518358386,76.46009656577539
28.000091186410298,159.28148667955952,78.22215756526327
30.000109877577408,158.3350533983232,79.98407095961217
32.00012823203003,157.38831881655494,81.74582209125121
34.00014595751694,156.44125641093473,83.50739630260954
36.00016277871884,155.4938396581425,85.26877893611628
38.000178438625596,154.54604203485832,87.02995533420057
40.000192699913896,153.5978370177621,88.79091083929151
42.00020534632451,152.6491980835339,90.55163079381829
44.00021618403984,151.7000987088537,92.31210054020998
46.000225043061526,150.75051237040142,94.07230542089576
48.00023177858776,149.80041254485715,95.83223077830472
50.00023627239112,148.84977270890082,97.59186195486603
52.000238434195936,147.89856633921244,99.35118429300881
54.00023820305603,146.94676691247196,101.11018313516219
56.000235548732256,145.99434790535946,102.8688438237553
58.00023047307028,145.04128279455483,104.62715170121727
60.00022301137807,144.08754505673815,106.38509210997724
62.000213233803706,143.13310816858933,108.14265039246432
64.00020124671296,142.17794560678837,109.89981189110767
66.00018719406688,141.22203084801535,111.65656194833639
68.0001712587997,140.26533736895016,113.41288590657966
70.00015366419603,139.30783864627284,115.16876910826656
72.00013467526887,138.34950815666335,116.92419689582626
74.00011460013678,137.39031937680173,118.67915461168788
76.00009379140162,136.4302457833679,120.43362759828055
78.00007264752571,135.46926085304196,122.18760119803338
80.0000516142095,134.50733806250375,123.94106075337554
82.00003118576836,133.54445088843337,125.69399160673615
84.00001190651004,132.58057280751078,127.44637910054433
85.99999437211143,131.61567729641595,129.19820857722922
87.99997923099549,130.64973783182893,130.94946537921996
89.96757929678543,129.6933721009442,132.66900444760017
92.00668640782806,128.67978910812823,134.4383566813227
94.09278431253286,127.60407345700908,136.22571235548244
96.20094814644938,126.46211824881821,137.99779955794156
98.30814746321776,125.24981658478721,139.72134637656205
100.39405990645095,123.96306156614763,141.36308089920598
102.44216805175354,122.597746294131,142.88973121373547
104.44125483992966,121.14976386996885,144.2680254080125
106.3874016331579,119.61500739489276,145.4646915698992
108.28649666561988,117.98936997013423,146.4464577872576
110.15698109935522,116.26874469692486,147.18005214794977
112.03203339475759,114.44902467649615,147.63220273983774
113.92171235944724,112.565440161442,147.78384694262422
115.74442445895497,110.74505370176533,147.69180056780309
117.52399076268942,108.99323957311964,147.37874547989614
119.28864970762835,107.30676390455208,146.8593024981526
121.06189564318119,105.6823928251098,146.14809244182175
122.8618868424981,104.11689246383989,145.2597361301528
124.70146295639802,102.6070289497895,144.20885438239497
126.5885983429407,101.14956841200575,143.01006801779755
