t,segment_id,segment_name
86.95,20,straight
87.0,20,straight
87.05,20,straight
87.1,20,straight
87.15,20,straight
87.2,20,straight
87.25,20,straight
87.3,20,straight
87.35,20,straight
87.4,20,straight
87.45,20,straight
87.5,20,straight
87.55,20,straight
87.6,20,straight
87.65,20,straight
87.7,20,straight
87.75,20,straight
87.8,20,straight
87.85,20,straight
87.9,20,straight
87.95,20,straight
88.0,20,straight
88.05,20,straight
88.1,20,straight
88.15,20,straight
88.2,20,straight
88.25,20,straight
88.3,20,straight
88.35,20,straight
88.4,20,straight
88.45,20,straight
88.5,20,straight
88.55,20,straight
88.6,20,straight
88.65,20,straight
88.7,20,straight
88.75,20,straight
88.8,20,straight
88.85,20,straight
88.9,20,straight
88.95,20,straight
89.0,20,straight
89.05,20,straight
89.1,20,straight
89.15,20,straight
89.2,20,straight
89.25,20,straight
89.3,20,straight
89.35,20,straight
89.4,20,straight
89.45,20,straight
89.55,20,straight
89.6,20,straight
89.65,20,straight
89.7,20,straight
89.75,20,straight
89.8,20,straight
89.9,20,straight
89.95,20,straight
90.0,20,straight
90.05,20,straight
90.1,20,straight
90.15,20,straight
90.2,20,straight
90.25,20,straight
90.3,20,straight
90.35,20,straight
90.4,20,straight
90.45,20,straight
90.5,20,straight
90.55,20,straight
90.6,20,straight
90.65,20,straight
90.7,20,straight
90.75,20,straight
90.8,20,straight
90.85,20,straight
90.9,20,straight
90.95,20,straight
91.0,20,straight
91.05,20,straight
91.1,20,straight
91.15,20,straight
91.2,20,straight
91.25,20,straight
91.3,20,straight
91.35,20,straight
91.4,20,straight
91.45,20,straight
91.5,20,straight
91.55,20,straight
91.6,20,straight
91.65,20,straight
91.7,20,straight
91.75,20,straight
91.8,20,straight
91.85,20,straight
91.9,20,straight
91.95,20,straight
92.0,20,straight
92.05,20,straight
92.1,20,straight
92.15,20,straight
92.2,20,straight
92.25,20,straight
92.3,20,straight
92.35,20,straight
92.4,20,straight
92.45,20,straight
92.5,20,straight
92.55,20,straight
92.6,20,straight
92.65,20,straight
92.7,20,straight
92.75,20,straight
92.8,20,straight
92.85,20,straight
92.9,20,straight
92.95,20,straight
93.0,20,straight
93.05,20,straight
93.1,20,straight
93.15,20,straight
93.2,20,straight
93.25,20,straight
93.3,20,straight
93.35,20,straight
93.4,20,straight
93.45,20,straight
93.5,20,straight
93.55,20,straight
93.6,20,straight
93.65,20,straight
93.7,20,straight
93.75,20,straight
93.8,20,straight
93.85,20,straight
93.9,20,straight
93.95,20,straight
94.0,20,straight
94.05,20,straight
94.1,20,straight
94.15,20,straight
94.2,20,straight
94.25,21,curve
94.3,21,curve
94.35,21,curve
94.4,22,straight
94.45,22,straight
94.5,22,straight
94.55,22,straight
94.6,22,straight
94.65,22,straight
94.7,22,straight
94.75,22,straight
94.8,22,straight
94.85,22,straight
94.9,22,straight
94.95,22,straight
95.0,22,straight
95.05,22,straight
95.1,22,straight
95.15,22,straight
95.2,22,straight
95.25,22,straight
95.3,22,straight
95.35,22,straight
95.4,22,straight
95.45,22,straight
95.5,22,straight
95.55,22,straight
95.6,22,straight
95.65,22,straight
95.7,22,straight
95.75,22,straight
95.8,22,straight
95.85,22,straight
95.9,22,straight
95.95,22,straight
96.0,22,straight
96.05,22,straight
96.1,22,straight
96.15,22,straight
96.2,22,straight
96.25,22,straight
96.3,22,straight
96.35,22,straight
96.4,22,straight
96.45,22,straight
96.5,22,straight
96.55,22,straight
96.6,22,straight
96.65,22,straight
96.7,22,straight
96.75,22,straight
96.8,22,straight
96.85,22,straight
96.9,22,straight
96.95,22,straight
97.0,22,straight
97.05,23,curve
97.1,23,curve
97.15,23,curve
97.2,24,straight
97.25,24,straight
97.3,24,straight
97.35,24,straight
97.4,24,straight
97.45,24,straight
97.5,24,straight
97.55,24,straight
97.6,24,straight
97.65,24,straight
97.7,24,straight
97.75,24,straight
97.8,24,straight
97.85,24,straight
97.9,24,straight
97.95,24,straight
98.0,25,curve
98.1,25,curve
98.15,25,curve
98.2,25,curve
98.25,25,curve
98.35,26,straight
98.4,26,straight
98.45,26,straight
98.55,26,straight
98.65,26,straight
98.7,26,straight
98.8,26,straight
98.85,26,straight
98.95,26,straight
99.05,26,straight
99.1,26,straight
99.15,26,straight
99.25,26,straight
99.3,26,straight
99.35,26,straight
99.4,26,straight
99.5,26,straight
99.55,26,straight
99.6,26,straight
99.65,26,straight
99.7,26,straight
99.75,26,straight
99.8,26,straight
99.85,26,straight
99.9,26,straight
99.95,26,straight
100.0,26,straight
100.05,26,straight
100.1,26,straight
100.15,26,straight
100.25,26,straight
100.3,26,straight
100.35,26,straight
100.4,26,straight
100.45,26,straight
100.5,26,straight
100.6,26,straight
100.65,26,straight
100.75,26,straight
100.8,26,straight
100.9,26,straight
100.95,26,straight
101.05,26,straight
101.15,26,straight
101.25,26,straight
101.35,26,straight
101.45,26,straight
101.5,26,straight
101.6,26,straight
101.7,26,straight
101.75,26,straight
101.85,26,straight
101.9,26,straight
102.0,26,straight
102.1,26,straight
102.15,26,straight
102.25,26,straight
102.35,26,straight
102.4,26,straight
102.5,26,straight
102.6,26,straight
102.65,26,straight
102.75,27,curve
102.8,27,curve
102.9,27,curve
102.95,27,curve
103.05,27,curve
103.15,27,curve
103.2,27,curve
103.3,27,curve
103.35,27,curve
103.45,27,curve
103.5,27,curve
103.6,27,curve
103.65,27,curve
103.75,27,curve
