scene_name,car_name,scenic_heading,true_left_x,true_left_y,scenic_vector_x,scenic_vector_y,rd_world_x,rd_world_y,road_s,road_t,scene_name_2,car_name_2,scenic_vector_x_2,scenic_vector_y_2,rd_world_x_2,rd_world_y_2,road_s_2,road_t_2,scenic_x_diff,scenic_dot_product,rd_x_diff,rd_y_diff,rd_dot_product,s_diff,t_diff
Left of 3,fellow1,-1.7737260512837445,0.9794803261776187,-0.2015397991241074,63.923657280604814,-297.78213210650307,66.99725394689571,-298.6951364596068,345.28698069654445,1.6135510931225479,Left of 3,fellow2,64.93135627622534,-292.88473047561496,67.99768259793983,-293.856953163005,345.2909787487941,1.6228575491170707,1.0076989956205296,-1.099120794378905e-14,1.0004286510441176,4.8381832966017555,0.004813691719397828,0.0039980522496421145,0.009306455994522844
Left of 3,fellow1,2.5172599254298134,-0.5845560098699025,-0.8113533578688009,38.303980572399425,54.043330028249784,42.4328863224215,48.76882855039591,2484.579964868741,1.3850418375230957,Left of 3,fellow2,42.36074736174343,51.12054997890027,46.41901406939635,45.8864896666513,2484.579964868741,1.422122665253341,4.056766789344003,8.881784197001252e-16,3.9861277469748444,-2.882338883744609,0.008480401238680546,0.0,0.037080827730245236
Left of 3,fellow1,2.5116615804120648,-0.5890890617743715,-0.8080681142687112,-24.450875768580772,-30.47456035875794,-19.466315085911617,-34.7767522032645,2484.579964868741,0.8092264673799565,Left of 3,fellow2,-20.410535197237216,-33.4200056676298,-15.49639057884125,-37.68149516015076,2484.579964868741,0.846156564981689,4.040340571343556,2.6645352591003757e-15,3.969924507070367,-2.9047429568862597,0.008591060421233365,0.0,0.03693009760173249
Left of 3,fellow1,0.2700119019505858,-0.26674290742352325,0.9637677216732493,614.9655595120184,-272.39804673508337,609.2159499714327,-273.0204538307591,1858.0098660328558,-2.766,Left of 3,fellow2,610.1467209036522,-273.73176127220097,604.4722383324539,-274.343016379075,1858.4629721203564,-2.766,-4.8188386083662635,1.9539925233402755e-14,-4.743711638978766,-1.3225625483158865,-0.009291659400765928,0.45310608750060055,0.0
Left of 3,fellow1,-1.8127174206784267,0.9708795336609424,-0.2395682180889423,13.811521327858088,-284.32561562953674,17.716315781582075,-285.45922485344437,294.4530809860903,1.1551167190913338,Left of 3,fellow2,15.0093624183028,-279.471217961232,18.903747405890076,-280.6633076792775,294.4932110571659,1.1661627643506276,1.1978410904447117,-3.552713678800501e-15,1.187431624308001,4.795917174166846,0.0039037301451005924,0.040130071075623164,0.011046045259293757
Left of 3,fellow1,0.013571097315106861,-0.01357068074352009,0.9999079140721697,555.581441264561,-194.09486166422334,550.930773975812,-195.7467434650602,1967.9899190327537,4.721509392531022,Left of 3,fellow2,550.5819016942002,-194.16271506794095,546.0115832079703,-195.81923437083057,1968.0485060317872,4.638414797624315,-4.9995395703608665,-5.717648576819556e-15,-4.919190767841769,-0.07249090577036554,-0.005727462951196319,0.058586999033423126,-0.08309459490670701
Left of 3,fellow1,-0.2714685364804375,0.2681464812838351,0.9633781524277463,609.8438018464566,-318.06671863321236,604.0931763841616,-318.13222971081973,1810.2485106874053,-2.766,Left of 3,fellow2,605.0269110843178,-316.72598622679317,599.3562685827343,-316.813284465675,1810.2620361453785,-2.766,-4.816890762138769,6.217248937900877e-15,-4.7369078014272645,1.3189452451447323,0.00045787430222454795,0.013525457973173616,0.0
Left of 3,fellow1,-0.23243801811108966,0.2303506599475893,0.9731076885225551,605.7478879587034,-331.0835908924356,600.0394031763117,-330.99325658241924,1796.8101138875036,-2.766,Left of 3,fellow2,600.8823495160906,-329.93183759269766,595.2542853848922,-329.86101603699694,1796.8120466369942,-2.766,-4.865538442612774,1.3322676295501878e-15,-4.785117791419452,1.1322405454222917,-0.00046306117301830874,0.0019327494906065112,0.0
Left of 3,fellow1,-1.0009095959254934,0.8419620934143894,0.5395366838809563,-77.7677962933502,-272.70147024141284,-72.36769506657922,-274.0785112155966,199.2747942002238,0.31711304747160013,Left of 3,fellow2,-80.46547971275498,-268.49165977434086,-75.0142633586733,-269.92350646617746,198.73122149346202,0.29249342934974026,-2.6976834194047825,1.4210854715202004e-14,-2.646568292094088,4.155004749419163,0.013467304435555327,-0.543572706761779,-0.024619618121859865
Left of 3,fellow1,3.1037400536168085,-0.037843561297759426,-0.9992836758740247,-172.91775633730018,-349.65470383803097,-166.12674340287987,-350.18807399592566,101.93228221171196,0.0,Left of 3,fellow2,-167.92133795793006,-349.84392164451975,-161.21109336486512,-350.3694913597107,102.17007851995936,0.0,4.9964183793701125,-1.2323475573339238e-14,4.915650038014746,-0.18141736378504447,-0.004738293381450098,0.23779630824739684,0.0
Left of 3,fellow1,2.8715435681053543,-0.2667787435288196,-0.9637578025630632,152.0148098787941,-716.2397287113322,152.90578890889677,-711.9021341955253,849.6861300168141,-1.8308306779899424,Left of 3,fellow2,156.83359889160943,-717.5736224289763,157.64457690385004,-713.2143229062165,849.6831987048575,-1.7686274781184972,4.81878901281533,-4.063416270128073e-14,4.73878799495327,-1.3121887106912027,0.00042420122072495126,-0.002931311956558602,0.06220319987144518
