sim_time,x_dspace,y_dspace,z_dspace,heading_dspace_deg,longitude_deg,latitude_deg,heading_gnss_deg
0,79.75626574081615,97.04261587666988,4.811757350360447,-127.4747635016602,-121.7548743448427,36.58817461391716,218.2866177747543
5,79.75537001730365,97.04145236640694,4.811749233028387,-127.47478992060857,-121.75487435488277,36.58817460365403,218.2866177747543
10,79.75459748925964,97.04008773776947,4.811733609256648,-127.47017377636625,-121.75487436360098,36.58817459158765,217.7565103201334
15,79.75348256350956,97.03829723214268,4.812083501629752,-127.46689652342903,-121.75487437615399,36.588174575766196,217.7565103201334
20,79.74595660780548,97.02830702304281,4.817108146621811,-127.46483444505168,-121.7548744605466,36.58817448762677,217.60364678524084
25,79.73401276323843,97.0122709847535,4.813106835443248,-127.45851906020803,-121.75487459450905,36.58817434613319,217.21580610942524
30,79.71607971892796,96.98810095366338,4.816660862118721,-127.44823364308417,-121.75487479566166,36.588174132862264,217.13220934700192
35,79.6907753896559,96.95390327804311,4.815239364159648,-127.43282483811906,-121.75487507951215,36.58817383110243,217.02213098032652
40,79.65930434887147,96.91112552160064,4.8146325878580445,-127.41127964415762,-121.75487543257773,36.588173453612946,216.86547427379693
45,79.62256308269451,96.86099575325542,4.81375037654228,-127.38460292058836,-121.75487584479941,36.58817301123158,216.77062880419712
50,79.58085614572924,96.80393671369326,4.812850195328326,-127.35326830094036,-121.75487631275904,36.58817250768943,216.70323867348523
55,79.53461722465755,96.7405337382378,4.811814172744767,-127.31775489093745,-121.75487683159184,36.58817194815145,216.64566561570973
60,79.48431074808613,96.67142181713274,4.810571009464987,-127.27875240050746,-121.75487739608694,36.58817133822135,216.6004159176738
65,79.43027566748691,96.59707477114223,4.809515943944053,-127.23700684639422,-121.75487800243955,36.58817068208133,216.5610257743693
70,79.37280635256447,96.51790640577146,4.80838215781889,-127.19319818531207,-121.75487864734501,36.58816998338404,216.533458096311
75,79.31181936969678,96.43382922967872,4.807694599208712,-127.14787604612151,-121.75487933173507,36.588169241359445,216.51800719788065
80,79.24674674232897,96.34407827752553,4.807166956619187,-127.10097657700541,-121.75488006198059,36.588168449257694,216.50577986022398
85,79.17707720513913,96.24792262949254,4.806423953131228,-127.05200057473672,-121.75488084382316,36.58816760062604,216.48221848571345
90,79.1026337374353,96.1450807361545,4.80550090982971,-127.00075607138837,-121.75488167925545,36.58816669297683,216.45543686842592
95,79.02323306123446,96.03530024040175,4.804554409775716,-126.94757867187712,-121.75488257033412,36.58816572408287,216.43854765390626
100,78.93839120232863,95.91794699299936,4.803673081540407,-126.89294561003709,-121.75488352248486,36.58816468835003,216.43137466718161
105,78.84751312940094,95.79222797233038,4.802702560178938,-126.83716301813067,-121.75488454238061,36.588163578781504,216.42935279840896
110,78.75015839191043,95.65754170873348,4.801557050780492,-126.78044055984667,-121.75488563496312,36.58816239006948,216.42825194636694
115,78.64594518678486,95.51336354415957,4.800379812676294,-126.72308210632936,-121.75488680451664,36.5881611175837,216.42835746952647
120,78.53430589996886,95.35892378947692,4.799238443147294,-126.6654747594873,-121.75488805740879,36.58815975453224,216.4324512817476
125,78.41456559318479,95.1933094232681,4.797977943744638,-126.60803164904833,-121.75488940121079,36.58815829285853,216.43797369534823
130,78.2861987441641,95.01579330741441,4.796498615519374,-126.55099868599731,-121.75489084182044,36.588156726145,216.4412956872817
135,78.14877399164915,94.82577083691358,4.794920656087767,-126.4946183584743,-121.75489238408002,36.588155049054926,216.4442606731274
