scene_name_f1,car_name_f1,scenic_heading_f1,true_left_x_f1,true_left_y_f1,scenic_vector_x_f1,scenic_vector_y_f1,rd_world_x_f1,rd_world_y_f1,road_s_f1,road_t_f1,scene_name_f2,car_name_f2,scenic_vector_x_f2,scenic_vector_y_f2,rd_world_x_f2,rd_world_y_f2,road_s_f2,road_t_f2,scenic_x_diff,scenic_y_diff,scenic_diff_dot_true_left,scenic_diff_magnitude,scenic_diff_to_true_left_angle (radians),rd_x_diff,rd_y_diff,rd_diff_dot_true_left,s_diff,t_diff
Left of 2,fellow1,2.545351604889709,0.8274522425991452,-0.561536095204614,74.90314945290069,107.8348651781935,78.54125329022784,101.93787796853188,2484.579964868741,1.7209387831666083,Left of 2,fellow2,78.21295842329728,105.58872079737505,81.79368278184442,99.72302286806674,2484.579964868741,1.7511944060013083,3.3098089703965883,-2.24614438081845,4.000000000000002,4.000000000000003,2.1073424255447017e-08,3.2524294916165815,-2.2148551004651438,3.934951161292958,0.0,0.030255622834699958
Left of 2,fellow1,2.9898420652834314,0.9885079583489538,-0.15116883369525305,-169.4760286838034,-318.44582198471164,-162.68338213642505,-319.35982549675373,130.88187276775236,0.0,Left of 2,fellow2,-165.5219968504076,-319.05049731949265,-158.79409956301427,-319.95272433454903,130.8642288483184,0.0,3.954031833395817,-0.6046753347810068,4.000000000000001,4.000000000000001,0.0,3.8892825734107817,-0.5928988377953033,3.9342146018932436,-0.01764391943396504,0.0
Left of 2,fellow1,2.549545984833718,0.8298002528288653,-0.5580605167946853,78.20476982555861,115.84995785129101,81.80437760136145,109.85786284228563,2484.579964868741,1.7512938942227827,Left of 2,fellow2,81.52397083687407,113.61771578411226,85.06607336460871,107.65674910199667,2484.579964868741,1.78163571625727,3.3192010113154566,-2.2322420671787455,3.9999999999999982,3.9999999999999987,1.4901161193847656e-08,3.2616957632472605,-2.2011137402889602,3.934910640422955,0.0,0.03034182203448732
Left of 2,fellow1,3.141365573646125,0.9999999742173497,-0.00022707994171687726,-170.66320840095324,-374.6635332749322,-163.9541864571847,-374.8864003927393,81.57730922932973,0.0,Left of 2,fellow2,-166.66320850408383,-374.6644415946991,-160.0185723868878,-374.88291851719276,81.7038861833048,0.0,3.9999998968694115,-0.0009083197668928733,4.000000000000012,4.000000000000013,2.1073424255447017e-08,3.935614070296907,0.0034818755465266804,3.93561317816225,0.12657695397507496,0.0
Left of 2,fellow1,-0.2150627599766215,-0.9769630026031942,0.2134087428962342,601.3347321860107,-335.2618933818446,595.6896462215999,-335.1249260440798,1791.871033187714,-2.766,Left of 2,fellow2,597.426880175598,-334.40825841025963,591.8462551131857,-334.2860834610003,1791.8770088835581,-1.9682545393831,-3.907852010412739,0.8536349715849383,3.999999999999963,3.9999999999999636,1.4901161193847656e-08,-3.8433911084141528,0.8388425830794972,3.9338672585975347,0.005975695844199436,0.7977454606169001
Left of 2,fellow1,-0.2714685364804375,-0.9633781524277463,0.2681464812838351,607.0361940422519,-319.6730536544544,601.3278245009261,-319.721853065828,1807.993591646465,-2.766,Left of 2,fellow2,603.1826814325409,-318.60046772931906,597.5382982597844,-318.6666968697122,1808.0225519943829,-2.766,-3.853512609710947,1.0725859251353427,3.999999999999964,3.999999999999964,0.0,-3.7895262411417434,1.0551561961157745,3.933683209960876,0.028960347917973195,0.0
Left of 2,fellow1,-1.3793777852447082,-0.1902517183027107,0.9817353429936533,344.2505723417439,-806.9152715839339,341.88161394102855,-801.2503718888931,1147.841793045817,1.1902669405740836,Left of 2,fellow2,343.4895654685331,-802.9883302119592,341.1400324466441,-797.3726319429559,1147.851764046431,1.1777402025851804,-0.7610068732108175,3.9269413719746353,4.000000000000017,4.000000000000017,0.0,-0.7415814943844339,3.8777399459372646,3.948001509433041,0.009971000614086734,-0.012526737988903136
Left of 2,fellow1,-1.3792086753028934,-0.1904177367882249,0.981703155498876,351.95442474157653,-808.8355432405604,349.4579556611856,-803.1385576666634,1154.920534519917,1.3182459265135609,Left of 2,fellow2,351.19275379442365,-804.9087306185648,348.7157205465407,-799.2609456118821,1154.9306338229612,1.305708147621117,-0.7616709471528793,3.9268126219955093,4.000000000000001,4.000000000000002,2.1073424255447017e-08,-0.7422351146449273,3.8776120547812525,3.9479987206746716,0.010099303044171393,-0.012537778892443896
Left of 2,fellow1,-1.436321960923331,-0.13406944088067918,0.9909719395734382,-121.00063600943535,-543.2825868309169,-115.39912313681798,-541.3741973373916,0.0,0.0,Left of 2,fellow2,-121.53691377295807,-539.3186990726232,-115.91952525407243,-537.4597200528057,0.0,0.0,-0.5362777635227189,3.9638877582937084,3.999999999999956,3.9999999999999565,1.4901161193847656e-08,-0.5204021172544486,3.914477284585928,3.9489071680157086,0.0,0.0
Left of 2,fellow1,2.8790251531869284,0.9657267391913499,-0.25956090847976787,139.70026891599997,-742.2950559538398,140.74184923013433,-737.6500181755155,877.725460843334,-1.9904993468284866,Left of 2,fellow2,143.56317587276538,-743.3332995877588,144.54068136439315,-738.6712447914706,877.7155631108338,-1.9406343782379893,3.862906956765414,-1.0382436339190235,4.000000000000002,4.000000000000002,0.0,3.7988321342588165,-1.021226615955129,3.933704277954116,-0.009897732500121492,0.04986496859049727
Left of 2,fellow1,-1.8430693508005083,0.26892142013366854,0.963162120202664,133.73318329113414,-313.54786610683834,135.65431223505624,-314.1902590984928,416.0742464661561,-2.0572803635980152,Left of 2,fellow2,134.8088689716688,-309.69521762602767,136.7197240492862,-310.38388625219187,416.0846499603453,-2.0432953479998233,1.0756856805346615,3.8526484808106716,4.0000000000000115,4.0000000000000115,0.0,1.065411814229975,3.806372846300917,3.952666199034953,0.010403494189176854,0.013985015598191985
Left of 2,fellow1,-1.8168467038933807,0.24357520082451029,0.9698820142384843,-9.543988591814383,-273.5874728746729,-5.243639746109335,-274.8789127715441,269.6414292474278,0.9415324564538547,Left of 2,fellow2,-8.569687788516342,-269.707944817719,-4.277931793528562,-271.0461024173274,269.62879291712113,0.95051592424526,0.9743008032980409,3.879528056953916,3.9999999999999796,3.9999999999999796,0.0,0.9657079525807735,3.83281035421669,3.9525963350294906,-0.01263633030669098,0.008983467791405242
Left of 2,fellow1,-0.06722822262323878,-0.9977410340420252,0.06717759290679025,-108.5344331656428,-365.7540644927918,-102.80915724110572,-366.01865434071266,92.61794588359312,0.03393230505634228,Left of 2,fellow2,-112.5253973018109,-365.4853541211647,-106.73539160324893,-365.75762280231953,92.60204567640376,0.0,-3.9909641361681025,0.26871037162715083,4.000000000000001,4.000000000000002,2.1073424255447017e-08,-3.926234362143205,0.26103153839312654,3.9349006027980997,-0.015900207189361026,-0.03393230505634228
Left of 2,fellow1,-3.090089192591721,0.9986739899067388,0.051480694281981015,-169.2681087914664,-431.4887499899206,-162.68538609698024,-431.01017108682913,33.82801219074482,0.0,Left of 2,fellow2,-165.27341283183944,-431.2828272127927,-158.75461262377345,-430.80241146874386,33.623327264271914,0.0,3.9946959596269664,0.20592277712790974,4.00000000000001,4.000000000000011,2.1073424255447017e-08,3.9307734732067843,0.20775961808527654,3.936256837289778,-0.2046849264729076,0.0
Left of 2,fellow1,-0.19639368508947053,-0.9807766673335804,0.19513361784693956,618.1534860039204,-289.01074526473474,612.3222050488789,-289.42504302185506,1840.138971537152,-2.766,Left of 2,fellow2,614.2303793345861,-288.230210793347,608.4636712356922,-288.6584172569129,1840.019582906018,-2.766,-3.923106669334288,0.7805344713877389,3.9999999999999636,3.9999999999999636,0.0,-3.858533813186682,0.7666257649421482,3.9339543931390044,-0.11938863113391562,0.0
