scene_name_f1,car_name_f1,scenic_heading_f1,true_left_x_f1,true_left_y_f1,scenic_vector_x_f1,scenic_vector_y_f1,rd_world_x_f1,rd_world_y_f1,road_s_f1,road_t_f1,scene_name_f2,car_name_f2,scenic_vector_x_f2,scenic_vector_y_f2,rd_world_x_f2,rd_world_y_f2,road_s_2_f2,road_t_2_f2,scenic_x_diff,scenic_y_diff,scenic_diff_dot_true_left,scenic_diff_magnitude,scenic_diff_to_true_left_angle (radians),rd_x_diff,rd_y_diff,rd_diff_dot_true_left,s_diff,t_diff
Left of 2,fellow1,0.0014646516344116736,-0.0014646511107488107,0.9999989273979867,557.3842387176593,-140.31003498662633,552.8028411159801,-142.62241328454752,2020.9747538266633,4.9371697237994105,Left of 2,fellow2,553.3842430080673,-140.31589359106934,548.8672187995338,-142.63257873121208,2020.9314851418287,4.68665197603044,-3.9999957095919854,-0.005858604443005788,-1.0489005497493764e-14,4.000000000000039,1.5707963267948992,-3.9356223164462563,-0.01016544666455843,-0.004401122163809055,-0.04326868483462931,-0.2505177477689706
Left of 2,fellow1,-0.037213542996664684,0.03720495440929848,0.9993076560136033,556.0514467373399,-174.69093952063486,551.4286733804196,-176.58130575799936,1986.848817246558,4.729919871262731,Left of 2,fellow2,552.0542161132855,-174.54211970299767,547.496054305373,-176.4386949365361,1986.8415565845626,4.663490370073301,-3.9972306240543958,0.14881981763718954,-3.747002708109903e-15,3.9999999999999827,1.5707963267948974,-3.9326190750465457,0.14261082146325066,-0.003800827677628821,-0.007260661995360351,-0.06642950118942981
Left of 2,fellow1,0.2001867047458905,-0.19885231041269616,0.98002946825263,-105.00009100559991,-449.90301455258066,-99.48547966763836,-449.1272687954538,7.743970611287147,0.06485071092684054,Left of 2,fellow2,-108.92020887861044,-450.6984237942314,-103.34395270695039,-449.91717250244085,7.7396532684081585,0.02895738709116862,-3.9201178730105255,-0.7954092416507592,2.5979218776228663e-14,4.000000000000001,1.5707963267948901,-3.858473039312031,-0.7899037069870474,-0.00686263139700205,-0.004317342878988661,-0.035893323835671925
Left of 2,fellow1,-1.6864989695046637,0.9933139131739216,-0.1154446616137405,-133.94730151714805,-544.1894942347302,-128.13905587442812,-542.2841077088954,0.0,0.0,Left of 2,fellow2,-133.48552287069307,-540.2162385820345,-127.6774492205863,-538.3592852905274,0.0,0.0,0.4617786464549738,3.973255652695684,1.1934897514720433e-14,3.9999999999999996,1.5707963267948937,0.46160665384182664,3.9248224183679667,0.005420515692232064,0.0,0.0
Left of 2,fellow1,0.4924332299857137,-0.4727714116265481,0.8811851067446845,164.33078613213155,71.6296843579305,166.46329681152793,66.27653905331564,2484.579964868741,-1.652869483118134,Left of 2,fellow2,160.80604570515283,69.7385987114243,162.99183494275906,64.4048872769125,2484.579964868741,-1.6984372605116573,-3.524740426978724,-1.8910856465061983,-1.199040866595169e-14,3.9999999999999907,1.5707963267948997,-3.47146186876887,-1.8716517764031408,-0.008063742273086705,0.0,-0.045567777393523246
Left of 2,fellow1,-1.7312792325403397,0.987150232591598,-0.15979492574657725,-42.23945522149906,-272.02559102292616,-37.40998455116372,-273.37206211264777,237.80440686338412,0.6423060477334873,Left of 2,fellow2,-41.600275518512746,-268.07699009255975,-36.773877350251745,-269.47139653314844,237.70312781885238,0.6482234149209505,0.6391797029863113,3.9486009303664105,-6.661338147750939e-16,4.000000000000019,1.5707963267948968,0.6361072009119724,3.900665579499332,0.004626804695118336,-0.10127904453173642,0.005917367187463163
Left of 2,fellow1,-0.37629403698169583,0.3674763333570588,0.9300328727644264,-90.60649074643668,-520.6018925874046,-85.45275610912533,-518.939588169777,0.0,0.19538967954225353,Left of 2,fellow2,-94.32662223749438,-519.1319872539764,-89.11032206937317,-517.4918603470372,0.0,0.1613652874773258,-3.7201314910576997,1.469905333428187,-4.263256414560601e-14,3.999999999999977,1.5707963267949072,-3.6575659602478368,1.4477278227398074,0.0023655378802263094,0.0,-0.034024392064927744
Left of 2,fellow1,0.37872246654174724,-0.369733766904181,0.9291377409248022,193.31517671728946,10.820527628896116,194.8700294179486,6.248102141107558,2484.579964868741,-1.2799915092788952,Left of 2,fellow2,189.59862575359026,9.341592561279391,191.21059757608276,4.78331448155082,2484.579964868741,-1.3280266546616242,-3.7165509636992056,-1.4789350676167246,-1.5543122344752192e-15,3.9999999999999973,1.570796326794897,-3.6594318418658247,-1.4647876595567375,-0.007973977312918601,0.0,-0.048035145382729016
Left of 2,fellow1,-0.4144581706466543,0.40269403434166173,0.915334646293713,576.31159998894,-697.7740789797463,570.406824567763,-693.1994269783177,1428.6954107125046,3.1656319020168255,Left of 2,fellow2,572.6502614037652,-696.1633028423796,566.8073626107566,-691.6124990999793,1428.7154242824456,4.027559129899993,-3.6613385851748035,1.6107761373666563,2.8199664825478976e-14,3.9999999999999596,1.5707963267948897,-3.5994619570063833,1.5869278783383152,0.003088211286200515,0.02001356994105663,0.8619272278831676
Left of 2,fellow1,0.00041651167014444823,-0.0004165116581015095,0.9999999132590156,598.8604140537045,-532.0965917446762,592.8954547042638,-529.5379113980649,1597.9700664964955,-2.2194958931842557,Left of 2,fellow2,594.8604144006684,-532.0982577913086,588.9598361694209,-529.5439359311578,1597.9724476599956,-1.2770726048536876,-3.9999996530360704,-0.0016660466324083245,-2.2833297752544723e-15,4.000000000000008,1.5707963267948972,-3.935618534842888,-0.006024533092841011,-0.004385301568664636,0.0023811635001038667,0.9424232883305681
Left of 2,fellow1,0.0014646516344116736,-0.0014646511107488107,0.9999989273979867,559.2723047768471,-137.83895335623916,554.6650324940499,-140.1797011130866,2023.4596744948194,6.0750579154681095,Left of 2,fellow2,555.2723090672552,-137.84481196068216,550.7294101776038,-140.18986655975112,2023.4541437929306,4.7181079706243185,-3.9999957095919854,-0.005858604443005788,-1.0489005497493764e-14,4.000000000000039,1.5707963267948992,-3.9356223164461426,-0.010165446664530009,-0.0044011221637808,-0.005530701888801559,-1.356949944843791
Left of 2,fellow1,-1.4172457840280517,0.9882342601779508,0.15294785716229647,259.64966942031833,-819.8620508094617,258.6187914807915,-814.1303020557531,1063.412182974011,-0.21620229992619278,Left of 2,fellow2,259.0378779916691,-815.9091137687499,258.0240711579573,-810.2267232769999,1063.435572498343,-0.22624827021702942,-0.6117914286492123,3.952937040711845,-1.9761969838327786e-14,4.000000000000045,1.5707963267949017,-0.5947203228342346,3.9035787787531717,0.009321011225630005,0.023389524331832945,-0.010045970290836648
